accident_index,accident_severity,num_accident_in_ons,num_accident_in_same_road_type,num_accident_in_same_road,num_accident_in_same_second_road,num_casualties,num_vehicle_involved,weather_conditions,light_conditions,road_surface_conditions,carriageway_hazards,special_conditions_at_site,is_night,num_cars,num_heavy_vehicles,num_motorcycles,num_pedal_cycles,num_pedestrians,is_child_involved,is_old_involved
"""2019010175614""",3,29,7489,3055,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"""2018471801812""",3,14,1285,55,16,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2019051912541""",3,92,7489,3055,5,1,2,1,1,1,0,0,0,2,0,0,0,0,1,0
"""2020302001546""",3,19,7489,4,7083,1,2,1,1,2,2,0,0,1,1,0,0,0,0,0
"""2016230082976""",3,25,7489,1,7083,2,3,1,1,1,0,0,0,3,0,0,0,0,0,0
"""2020360969198""",3,15,1285,1,3,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017010053390""",3,29,764,567,583,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"""2021010348044""",3,109,7489,43,7083,1,2,1,4,2,0,0,1,1,0,0,1,0,0,0
"""2020010233911""",3,51,1285,567,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2016200070200""",3,25,1285,6,7083,2,5,1,1,1,0,0,0,4,1,0,0,0,0,0
"""2021010323014""",3,91,1285,13,3,1,2,8,1,1,0,0,0,2,0,0,0,0,0,0
"""2021010300289""",3,90,247,11,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""201601HT20737""",3,92,7489,34,10,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2016210104409""",3,30,7489,3055,7083,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2019410903673""",3,15,7489,3055,7083,2,2,2,1,2,0,0,0,2,0,0,0,0,1,0
"""2017500182838""",3,26,764,1,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2021010339158""",3,90,764,2,1,1,2,8,1,1,0,0,0,2,0,0,0,0,0,0
"""2019950000465""",3,74,7489,3055,1,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2017120043877""",3,33,7489,9,4,1,2,1,1,1,0,0,0,1,0,0,1,0,1,0
"""2017950001102""",3,74,1285,6,583,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"""2019010227184""",3,42,7489,1,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2017440232051""",3,24,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2020010256457""",3,64,7489,5,7083,1,1,1,1,1,0,9,0,0,0,0,0,1,0,0
"""2019010202270""",3,49,7489,35,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"""201601YR90482""",3,82,7489,10,1,1,2,1,1,1,0,0,0,1,1,0,0,0,1,0
"""201604ED16441""",3,37,7489,2,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""201897GU02211""",3,78,7489,3,7083,3,2,1,4,2,0,0,1,1,1,0,0,0,0,0
"""2016140056275""",3,113,7489,11,7083,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
"""2020200987844""",3,47,7489,3055,7083,2,3,1,1,1,0,0,0,3,0,0,0,0,0,1
"""2021010296660""",3,66,7489,20,7083,1,3,8,1,1,0,0,0,2,0,1,0,0,0,0
"""2017010047412""",3,64,7489,21,2,1,1,1,4,1,0,0,1,0,0,1,0,0,0,0
"""2020544653120""",3,75,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2017520702122""",3,15,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2018010098128""",3,49,1285,9,7083,1,2,2,4,2,0,0,1,1,1,0,0,0,0,0
"""2017430148645""",3,33,1285,2,583,1,2,1,1,1,0,0,0,2,0,0,0,0,1,0
"""201604SA16439""",3,33,7489,3055,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
"""2018070129079""",3,11,7489,567,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
"""2019010170698""",3,57,7489,24,7083,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"""2020052001542""",3,30,1285,8,7083,1,2,1,4,1,0,0,1,2,0,0,0,0,0,0
"""2019520001230""",3,23,7489,3,7083,1,2,1,1,2,0,0,0,2,0,0,0,0,0,0
"""2017010052627""",3,91,7489,20,7083,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1
"""2017110234135""",3,83,7489,567,7083,1,2,2,1,2,0,0,0,2,0,0,0,0,0,0
"""2020350973711""",3,26,7489,54,7083,1,2,1,4,1,0,0,1,2,0,0,0,0,0,0
"""2016010021296""",3,49,7489,7,583,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"""2020010250007""",3,49,1285,7,583,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""201631C008716""",3,70,7489,6,1,1,1,1,1,1,0,5,0,1,0,0,0,1,0,0
"""2019621900583""",3,22,7489,1,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""201734NC03407""",3,15,7489,3055,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"""2019010224711""",3,64,7489,567,7083,1,2,1,1,1,0,4,0,1,0,0,1,0,0,0
"""2020200942851""",3,166,7489,3055,7083,1,2,2,4,2,0,0,0,1,0,0,1,0,0,0
"""2019440082513""",3,12,7489,2,1,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""201960X157015""",3,16,7489,7,7083,2,2,1,6,2,0,0,0,1,0,1,0,0,0,0
"""2017134270865""",3,147,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2016110094155""",3,83,7489,3055,1,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""201706F028253""",3,36,1285,3,583,2,2,1,7,1,0,0,0,2,0,0,0,0,0,0
"""2021991105221""",3,40,171,6,1,1,2,2,1,2,0,0,0,2,0,0,0,0,0,0
"""2021201132033""",3,166,7489,3,7083,1,2,1,4,1,0,0,0,2,0,0,0,0,0,0
"""2021010352364""",3,44,7489,20,7083,1,1,1,1,2,0,9,0,1,0,0,0,1,0,0
"""20191363Q1266""",3,147,1285,1,2,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"""2018010142762""",3,132,7489,52,7083,2,2,1,1,1,0,0,0,1,0,1,0,1,0,0
"""2021061040580""",3,37,7489,1,7083,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0
"""2016200102655""",3,166,7489,3,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
"""2017010046398""",3,42,7489,567,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"""2019010165571""",3,32,1285,6,7083,1,2,1,4,1,0,0,0,1,0,1,0,0,0,0
"""201601JI40375""",3,50,7489,567,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2018135792001""",3,147,1285,41,5,4,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2021070259676""",3,49,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""202154A516621""",3,75,764,1,1,1,2,1,1,2,0,0,0,2,0,0,0,0,0,0
"""2017010042434""",3,64,1285,3,583,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2017400169459""",3,32,7489,3055,7083,2,3,1,1,1,0,0,0,1,0,0,2,0,0,0
"""2017010051818""",3,80,1285,14,3,1,2,2,1,2,0,0,0,2,0,0,0,0,0,0
"""2018010153794""",3,82,7489,23,7083,1,2,1,4,1,0,0,0,2,0,0,0,0,0,0
"""202131A081821""",3,20,7489,6,8,1,2,1,1,1,0,0,0,2,0,0,0,0,0,1
"""2018010135830""",3,63,1285,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2021471091675""",3,29,7489,3055,7083,1,2,1,4,1,0,0,1,1,0,0,1,0,0,0
"""2019010201995""",3,57,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017010011112""",3,35,7489,10,7083,1,1,1,4,1,0,0,0,1,0,0,0,1,0,1
"""2016140048311""",3,38,1285,18,7083,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0
